IP: 127.0.0.1 | Subject: ExceptionError | Date: 14.03.2019 22:29:26 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 14.03.2019 22:29:27 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 14.03.2019 22:29:27 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:17:52 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:17:52 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:17:52 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:18:48 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:18:48 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:18:48 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:18:51 | Message: Line:34, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Controllers/Ajax.php, Error:Class 'Project\Controllers\method' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:19:55 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:19:55 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:19:55 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:20:32 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:20:32 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:20:32 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:20:35 | Message: Line:37, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Controllers/Ajax.php, Error:Undefined variable: data
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:23:19 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:24:12 | Message: Line:34, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Controllers/Ajax.php, Error:Class 'Project\Controllers\method' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:24:30 | Message: Line:32, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/product_detail_view.php, Error:Trying to get property 'title' of non-object
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:24:33 | Message: Line:34, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Controllers/Ajax.php, Error:Class 'Project\Controllers\method' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:26:12 | Message: Line:8, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Controllers/Login.php, Error:Class 'Project\Controllers\Method' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:27:09 | Message: Line:1, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/login.php, Error:Use of undefined constant THEME - assumed 'THEME' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:28:37 | Message: Line:70, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/login.php, Error:Call to undefined function baseUrl()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:28:39 | Message: Line:70, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/login.php, Error:Call to undefined function baseUrl()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:28:39 | Message: Line:70, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/login.php, Error:Call to undefined function baseUrl()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 15.03.2019 18:31:06 | Message: Line:1, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Frontend/Views/fashion/register_view.php, Error:Use of undefined constant THEME - assumed 'THEME' (this will throw an Error in a future version of PHP)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 17.03.2019 12:36:11 | Message: Line:9, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Controllers/Home.php, Error:Class 'Project\Controllers\Session' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 17.03.2019 12:37:25 | Message: Line:7, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Views/index.php, Error:Call to undefined function baseUrl()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 17.03.2019 12:38:56 | Message: Line:40, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Controllers/store.php, Error:Call to undefined method Store_model::liste()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 17.03.2019 12:40:09 | Message: Line:40, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Controllers/store.php, Error:Call to undefined method Store_model::liste()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 17.03.2019 12:40:10 | Message: Line:40, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Controllers/store.php, Error:Call to undefined method Store_model::liste()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 18.03.2019 10:38:33 | Message: Line:7, File:/home/erkanisik/Dropbox/www1/prestige/Projects/Panel/Views/store/index.php, Error:Undefined variable: sayi
IP: 95.70.164.13 | Subject: ExceptionError | Date: 28.03.2019 12:10:24 | Message: Line:7, File:/home/prestige20/domains/prestigemagaza.com/public_html/Projects/Panel/Views/category/index.php, Error:Call to undefined function baseUrl()
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:01:21 | Message: Line:113, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-database/PDO/DB.php, Error:SQLSTATE[HY000] [1045] Access denied for user 'etirax_etirax'@'localhost' (using password: YES)
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:08:28 | Message: Line:21, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Projects/Panel/Controllers/Initialize.php, Error:syntax error, unexpected '}'
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:08:44 | Message: Line:1, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:09:34 | Message: Line:5, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Undefined variable: magazaonaysayisi
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:09:50 | Message: Line:75, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Filesystem.php, Error:file_put_contents(Projects/Panel/Views/Sections/head.wizard.php): failed to open stream: Permission denied
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:10:36 | Message: Line:29, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
IP: 127.0.0.1 | Subject: ExceptionError | Date: 21.12.2020 15:12:45 | Message: Line:32, File:/home/erkanisik/Yandex.Disk/www1/shopcart/Internal/package-zerocore/Buffering.php(56) : eval()'d code, Error:Class 'IMPORT' not found
